dim,pearson,spearman,kendall,mi,dcorr,hsic,pp_spatial
40,0.016467344972391173,0.024140696335917183,0.016123546602526125,0.005030855624768904,0.020933562393119724,2.5892100374035146e-05,0.011573497714073362
9,0.016433430075229877,0.001537546662403834,0.001091761546154712,0.0035684485194718008,0.0247691290644243,3.057529094885599e-05,0.02214131569432772
23,-0.01633068945491933,-0.028893644969238484,-0.019294337616406934,0.0,0.024728758473906383,4.3933043850588194e-05,-0.012715177402704482
32,0.016213245929222703,0.01641780737765106,0.010965908843332107,0.0054711515257874765,0.015557985287194601,9.37921806824612e-06,0.012666394130477116
56,0.016095597357409938,0.01722604204237678,0.011475407676385739,0.0,0.016172531355994505,1.323573276394268e-05,0.013818552537279
18,0.01568638172114783,0.017601013108961963,0.011728135446259152,0.005314599658603036,0.018237566534093027,1.4355544778824075e-05,0.013278625385371334
12,-0.014918937241983427,-0.025942480950918494,-0.01733002903661455,0.0006381206002075146,0.024643876150089252,5.342613408393094e-05,-0.009106116749631379
55,-0.014825756329242393,-0.029248940671842815,-0.019370758035760435,0.0026065021376782127,0.02819024367131405,6.995955648465908e-05,-0.010659292715518303
14,0.014742962146770988,0.024586330193239338,0.016370693833048126,0.002373385834833819,0.02219280816176559,4.0736953782872036e-05,0.015658825514436855
62,-0.014549949695342634,-0.03757083455190052,-0.02497735182897904,0.0,0.03531393676919617,0.00010753583161363755,-0.008216020835992554
44,-0.014137646267333801,-0.0135098313495249,-0.008992319263762405,0.0,0.01495889019365383,9.176830599669923e-06,-0.009491865769043763
50,-0.013922348000510417,-0.018191077244957204,-0.012113696527308987,0.0,0.01712140585496271,1.5895418113227566e-05,-0.013237134551425913
28,-0.011557583813899501,-0.03184367713236627,-0.021160377760121665,0.005346928949299112,0.029414790827047465,7.238320401677308e-05,-0.008940740997473077
34,0.011319308720443693,0.0031685152328621968,0.0021144009275092844,0.0,0.01890926491047056,2.177021952961303e-05,0.016456964726867765
31,-0.01125648205044872,-0.01669964724062062,-0.011132773721228627,0.0022216820359526324,0.017069835838846435,1.7917620277223568e-05,-0.007284524924561011
21,-0.010898725157426707,-0.010170450858340917,-0.006744627518664566,0.0,0.014364795358299752,1.1807114801590305e-05,-0.009394492424968304
