0,1,2,3
2.8480322,-0.03743469,2.8482463,-0.10631167
3.572706,-0.061809845,3.5412004,-0.10798035
3.3980994,-0.060561188,3.3617496,-0.10267286
4.1424885,-0.09280337,4.074608,-0.099088185
2.7687902,-0.039454065,2.7594306,-0.09499106
3.0128093,-0.04112851,3.018336,-0.10900029
4.0026965,-0.09324104,3.9196317,-0.0801444
3.1878235,-0.047808237,3.1748507,-0.1095083
5.0363946,-0.13002938,4.9236183,-0.0911128
3.8746347,-0.06420616,3.8153417,-0.099326454
3.4183319,-0.05809287,3.4050639,-0.11147094
2.9887834,-0.04305253,2.9855704,-0.11064194
3.7199876,-0.057900377,3.6635787,-0.099424616
3.9799564,-0.074360915,3.9180424,-0.09670701
3.0454764,-0.043622337,3.043274,-0.10678222
3.8867345,-0.07751448,3.8529758,-0.112687886
4.172018,-0.0839994,4.117987,-0.10756642
2.6107638,-0.029452555,2.625802,-0.10621178
4.6121435,-0.11494542,4.5237427,-0.09440816
2.9143374,-0.0161267,2.903134,-0.110233456
3.3777258,-0.071247734,3.322912,-0.09269305
2.5293922,-0.025698729,2.5516744,-0.10934784
3.5820832,-0.07708294,3.5369198,-0.08419056
5.062975,-0.13751915,4.9428225,-0.09373034
4.090722,-0.0828541,4.039115,-0.1078983
3.9936564,-0.08364347,3.9212487,-0.09793018
1.8482156,-0.004308544,1.8930683,-0.103282705
3.2344978,-0.05129484,3.2296498,-0.12134689
3.419381,-0.05426968,3.4007857,-0.1065803
3.5758207,-0.06719104,3.5362113,-0.10480141
3.182801,-0.044645704,3.1779354,-0.10898623
3.6522796,-0.060186602,3.6142266,-0.10406432
2.431521,-0.024605878,2.4475718,-0.109047905
3.2396522,-0.051357247,3.226652,-0.10941877
2.693834,-0.027091227,2.7094843,-0.10742066
2.7260377,-0.032996096,2.7375085,-0.104655474
3.7928846,-0.07153902,3.7522032,-0.1054978
3.6895187,-0.08236305,3.634143,-0.08004802
3.7368839,-0.074476816,3.698056,-0.10746125
4.6733,-0.117932595,4.5714445,-0.09011582
