0,1,2,3,4,5,6,7
0.643646,0.1276108,0.9283071,-0.17894581,-3.4464853,1.8360835,1.4661007,-1.1561503
0.7167624,0.12889129,1.0298508,-0.1896558,-3.759009,2.0112352,1.612475,-1.2489316
0.56316507,0.118310004,0.8085478,-0.16097471,-3.0293179,1.6109061,1.2544181,-1.030195
0.48114,0.08203316,0.7082425,-0.13607989,-2.6692357,1.4371177,1.0348421,-0.9288431
0.47388402,0.11318889,0.6923404,-0.13515237,-2.6235764,1.4028357,1.047347,-0.9066793
0.5046096,0.089431286,0.7275004,-0.1282719,-2.721401,1.4553703,1.078272,-0.9450487
0.8192581,0.13615674,1.1646943,-0.20951833,-4.205782,2.2463753,1.8423313,-1.3940917
0.8054534,0.14811373,1.1581651,-0.16111414,-4.147232,2.2654274,1.8192292,-1.3779478
0.6530527,0.10256854,0.9385541,-0.16603029,-3.4265642,1.8275954,1.4392768,-1.1645232
0.74615514,0.12920338,1.067916,-0.19952656,-3.8836794,2.0641084,1.6823853,-1.2946295
0.56736124,0.11786014,0.8195386,-0.15633325,-3.0427742,1.6250983,1.2605294,-1.0356362
0.66173565,0.12456927,0.9396683,-0.17607827,-3.4659948,1.8480854,1.4697986,-1.1675792
0.7143185,0.13474116,1.0213077,-0.18102013,-3.723644,1.9940327,1.6015583,-1.2444327
0.7588937,0.13196772,1.0823823,-0.19978555,-3.93895,2.0980601,1.7159251,-1.315898
0.5246872,0.101623625,0.75989145,-0.12514298,-2.8541615,1.5524327,1.1438581,-0.9759657
0.6519594,0.12032026,0.9419593,-0.181859,-3.4885852,1.8606213,1.4819139,-1.1751769
0.71517384,0.13270155,1.0210133,-0.19761409,-3.7293043,1.9856951,1.609952,-1.2396407
0.5791576,0.15281913,0.8417001,-0.08358541,-3.0959523,1.740955,1.2985406,-1.049032
0.40674415,0.083019346,0.60201424,-0.09814091,-2.2934227,1.2479397,0.8575851,-0.81666934
0.51436293,0.09241077,0.7618065,-0.1332734,-2.83812,1.5395739,1.1254054,-0.98261464
0.6761445,0.119564354,0.9698265,-0.16906245,-3.5471725,1.8984174,1.5045067,-1.194478
0.66499233,0.12874779,0.95074683,-0.18016525,-3.4867911,1.85199,1.4831668,-1.1732926
0.6001719,0.12101376,0.87473553,-0.14001614,-3.2707314,1.8078175,1.3349203,-1.0931513
0.6403023,0.12844029,0.9189436,-0.17252004,-3.397009,1.8206724,1.4349961,-1.1417525
0.8089415,0.13461027,1.1466218,-0.21543287,-4.1634912,2.2142937,1.8283294,-1.3828168
0.45362207,0.08573279,0.67509824,-0.12253691,-2.5766807,1.3959293,0.99381554,-0.900668
0.7798084,0.1341829,1.1030828,-0.19750871,-4.0255594,2.1514428,1.7503058,-1.3348315
0.42643288,0.071253434,0.6277523,-0.11679955,-2.3952334,1.2899835,0.8998349,-0.8497594
0.7325882,0.12408197,1.0327746,-0.1987993,-3.761753,1.9914111,1.6183702,-1.2561762
0.7893928,0.12780997,1.1065959,-0.20771529,-4.0262146,2.1261985,1.7605765,-1.3453486
0.6713084,0.11998308,0.95350474,-0.17424893,-3.4831414,1.8495709,1.479153,-1.1734726
0.62900984,0.13104847,0.9058564,-0.17070402,-3.3395457,1.7858706,1.4090668,-1.122374
0.76154244,0.13087031,1.0793682,-0.20016803,-3.9256551,2.0822268,1.70861,-1.3122896
0.5009999,0.11492598,0.7474319,-0.10347271,-2.8369443,1.5844679,1.1242114,-0.9782632
0.7057861,0.13705647,1.0012194,-0.19156493,-3.6740127,1.9565715,1.5851868,-1.2254508
0.544546,0.08522841,0.80231744,-0.13632576,-2.9445562,1.5900816,1.178208,-1.0198778
0.43012795,0.07816951,0.6464252,-0.123035505,-2.4742491,1.3502479,0.92707276,-0.86245304
0.78915036,0.13413402,1.1195565,-0.19600265,-4.048931,2.1641524,1.7654868,-1.343984
0.7997247,0.13879713,1.1479748,-0.21155195,-4.156233,2.2164228,1.8231037,-1.3807421
0.79194343,0.13279071,1.1263767,-0.19818522,-4.0926228,2.1803894,1.7953006,-1.3647779
0.7256577,0.10967228,1.0528445,-0.17767534,-3.8085003,2.0447407,1.626203,-1.2856811
0.6728109,0.123155445,0.941284,-0.16688369,-3.4887905,1.8642894,1.4822,-1.17289
0.7847371,0.13622344,1.1108435,-0.20430438,-4.038224,2.1475646,1.7634429,-1.3406029
