0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.8005898,-0.4542663,1.5369775,-1.8548781,0.29555613,1.5036024,-0.5364904,0.47309384,-0.9854418,1.6963356,1.4154462,0.24751842,1.3574011,1.7758338,-1.1256692,-1.5728242
0.87127495,-0.30464455,0.89279425,-1.2776557,0.15554988,1.0316771,-0.48689368,0.2468477,-0.5482241,1.0344081,0.95716906,0.2016033,0.9044063,1.0819694,-0.7259293,-0.9347838
1.618557,-0.45536834,1.4936781,-1.9650364,0.28215605,1.5618281,-0.5844868,0.432142,-0.9366095,1.7347258,1.4969774,0.35964826,1.3873488,1.7609737,-1.2257817,-1.5799608
1.9844475,-0.5012496,1.7420495,-2.1740031,0.34606475,1.7437445,-0.595755,0.5215658,-1.1175679,1.9875677,1.6764559,0.38455927,1.5529451,2.037148,-1.3994288,-1.8343312
2.2251568,-0.50289315,1.9015219,-2.2727754,0.37652963,1.8506799,-0.5868766,0.58852255,-1.2018746,2.126508,1.7693512,0.39861828,1.6564533,2.195602,-1.496068,-1.9748678
2.5592046,-0.5580216,2.130213,-2.4641461,0.43762943,2.012412,-0.6160452,0.66458076,-1.3475529,2.3675854,1.933909,0.4111752,1.8123093,2.4432983,-1.6437881,-2.1995945
1.8024995,-0.47000325,1.6199497,-2.0629241,0.31299427,1.655679,-0.59473515,0.47863796,-1.0150154,1.857924,1.574657,0.3608809,1.4714448,1.8933827,-1.2934161,-1.701315
1.3532467,-0.39911675,1.2718935,-1.7051255,0.2325147,1.3635565,-0.530158,0.36126533,-0.8008909,1.4800999,1.3007962,0.29555607,1.2076255,1.5165775,-1.0387406,-1.3364464
2.0981383,-0.50337,1.7970793,-2.182939,0.3527171,1.7613363,-0.5815215,0.5573374,-1.1453601,2.022842,1.6921242,0.3798607,1.5790732,2.0947113,-1.4237232,-1.8792405
1.4888954,-0.43312758,1.3923774,-1.8550552,0.2562865,1.4681803,-0.5676172,0.39965317,-0.8725481,1.6162611,1.4058745,0.32957777,1.3021939,1.6446846,-1.142809,-1.4755886
2.1059713,-0.54822963,1.8633331,-2.329445,0.36120468,1.8767246,-0.6448727,0.54989547,-1.1806968,2.1414347,1.8088658,0.41432256,1.660803,2.1706495,-1.4949151,-1.964447
2.4841666,-0.54783434,2.0484533,-2.3532982,0.42957497,1.9022998,-0.5901677,0.6662357,-1.291087,2.258429,1.8285971,0.38123602,1.7480687,2.3432734,-1.5607767,-2.112951
1.9189007,-0.49532777,1.6977144,-2.1167011,0.32638434,1.701101,-0.5996321,0.50939,-1.0661157,1.9304688,1.6341761,0.36420643,1.5237297,1.9740211,-1.3451927,-1.7769115
1.4703643,-0.43453234,1.3698132,-1.83193,0.25391483,1.4467738,-0.5636011,0.3943338,-0.8621993,1.6015215,1.3843027,0.3209907,1.2895206,1.6239271,-1.1187419,-1.4501827
2.3572984,-0.51400065,1.9615139,-2.2650957,0.3963637,1.8494982,-0.57755095,0.61740446,-1.2413908,2.162015,1.774757,0.362791,1.6724602,2.2457137,-1.486339,-2.0217896
0.8895634,-0.32116508,0.91057855,-1.3087013,0.16057901,1.0409234,-0.48370713,0.25588068,-0.5788615,1.0542758,0.9874008,0.21453407,0.9272357,1.1173761,-0.75171924,-0.9529692
2.0519469,-0.51624143,1.8158599,-2.2582371,0.3517722,1.8177583,-0.61646885,0.5326437,-1.1426655,2.0661232,1.7528785,0.38578385,1.6103097,2.101506,-1.4305773,-1.9024199
2.0041254,-0.44910115,1.6642551,-1.9187837,0.3217035,1.5599581,-0.5059156,0.5390924,-1.0452726,1.7953862,1.4772608,0.27521116,1.432614,1.9012647,-1.2077062,-1.6885128
2.242885,-0.48793548,1.8754742,-2.1838722,0.38312116,1.7668284,-0.5655561,0.60464126,-1.1679846,2.0653338,1.6913407,0.36121938,1.6156054,2.1558437,-1.4431181,-1.9425263
1.7471764,-0.46609646,1.5784111,-2.0088637,0.2934072,1.6081189,-0.58075505,0.46787128,-0.9857794,1.8033992,1.536234,0.3438695,1.4302121,1.8362813,-1.245722,-1.6562433
1.7022431,-0.43016016,1.5075433,-1.8660046,0.28538638,1.5010685,-0.5487043,0.46104267,-0.9433372,1.6879363,1.4198238,0.29066628,1.3497243,1.7423598,-1.1552016,-1.5520175
1.6928961,-0.5277758,1.363931,-1.5594827,0.2810642,1.2252909,-0.5303226,0.47558722,-0.86089194,1.4217955,1.1449486,0.10604162,1.2351055,1.6256864,-0.8586121,-1.3411112
1.8355601,-0.46850246,1.6378827,-2.0918858,0.31873754,1.6856465,-0.58646613,0.4801406,-1.038963,1.8928068,1.6093526,0.39140803,1.4879498,1.9354448,-1.3464134,-1.731946
1.494673,-0.41557926,1.3788884,-1.7853954,0.25251457,1.4291937,-0.54268706,0.40060815,-0.84668267,1.5701437,1.3548034,0.2976358,1.2736698,1.6109455,-1.0820292,-1.4412296
2.2943017,-0.5099514,1.9382188,-2.2947814,0.4056003,1.853365,-0.59261507,0.61046064,-1.2289611,2.1693575,1.7819945,0.39389223,1.6721776,2.2314632,-1.5220199,-2.0101779
1.9901912,-0.45075446,1.6651846,-1.9689873,0.33479348,1.6014153,-0.528004,0.5387294,-1.0573643,1.8420229,1.5234761,0.31812575,1.4614275,1.9389539,-1.2714748,-1.7206343
1.0271256,-0.3463572,1.0283408,-1.4376831,0.1809773,1.138821,-0.50875044,0.29330245,-0.63745534,1.1890571,1.0833225,0.24157345,1.0131245,1.2322016,-0.84777015,-1.0802629
1.3819008,-0.39083964,1.2804276,-1.6765841,0.22776766,1.3356416,-0.5228251,0.37413248,-0.7901076,1.4623638,1.2678903,0.2705781,1.1926073,1.5026402,-0.9981889,-1.3381195
