x,y,latent,bandcontrast,cluster
74,192,0.00022242242,54.0,1
75,192,-0.00012722873,50.0,1
76,192,0.0001372752,49.0,1
77,192,4.256214e-05,53.0,1
78,192,0.00022742862,59.0,1
79,192,8.444174e-05,52.0,1
80,192,0.00021531567,49.0,1
81,192,0.00039958244,54.0,1
82,192,0.00053485704,64.0,1
83,192,1.13778515e-05,66.0,1
84,192,0.00023173058,78.0,1
85,192,0.0004560502,91.0,2
86,192,0.00033696706,93.0,2
87,192,0.00028256775,79.0,1
88,192,0.00037237542,51.0,1
89,192,,42.0,-1
20,193,-8.859637e-05,158.0,0
21,193,6.012863e-05,162.0,0
22,193,-4.85254e-06,162.0,0
23,193,2.7325877e-05,159.0,0
24,193,-0.00010495761,160.0,0
25,193,-5.342567e-05,160.0,0
26,193,-0.00022590946,166.0,0
27,193,0.0002520394,139.0,0
28,193,0.00012647011,66.0,1
29,193,0.0002058926,80.0,1
30,193,0.00038952898,87.0,2
31,193,0.00023049762,91.0,2
32,193,-0.00015376403,99.0,2
33,193,0.00014631561,109.0,2
34,193,0.00020626938,107.0,2
35,193,6.563583e-05,103.0,2
36,193,0.00048228132,102.0,2
37,193,0.00038147956,89.0,2
38,193,4.672067e-05,82.0,1
39,193,0.00017261074,77.0,1
40,193,0.00034534413,67.0,1
41,193,0.00049758,50.0,1
42,193,,42.0,-1
43,193,0.00030956004,47.0,1
44,193,7.095793e-05,51.0,1
45,193,0.00024467992,52.0,1
46,193,-3.2303855e-05,65.0,1
47,193,0.0003476736,72.0,1
48,193,0.00035101036,65.0,1
49,193,0.00014284451,75.0,1
50,193,0.0002541663,72.0,1
51,193,0.00024324248,66.0,1
52,193,-6.4903405e-05,66.0,1
53,193,-1.0585121e-05,54.0,1
54,193,0.0003914496,65.0,1
55,193,0.00019656232,63.0,1
56,193,6.52459e-05,70.0,1
57,193,-2.85157e-05,96.0,2
58,193,0.0002524752,98.0,2
59,193,0.0001816384,107.0,2
60,193,0.00031478598,109.0,2
61,193,0.00018944108,98.0,2
62,193,0.00022811361,106.0,2
63,193,0.00029853772,95.0,2
64,193,0.00020213117,93.0,2
65,193,0.00013758772,78.0,1
66,193,0.00011635374,66.0,1
67,193,,43.0,-1
68,193,0.00014675793,56.0,1
69,193,0.0002563732,75.0,1
70,193,1.7083425e-05,79.0,1
71,193,-1.33455615e-05,65.0,1
72,193,4.2393804e-05,47.0,1
73,193,,45.0,-1
74,193,-8.921744e-05,51.0,1
75,193,0.00019205525,53.0,1
76,193,0.00040160172,46.0,1
77,193,0.00021938054,54.0,1
78,193,0.00012831326,59.0,1
79,193,0.00018343353,48.0,1
80,193,7.3638046e-05,46.0,1
81,193,0.00027243712,53.0,1
82,193,0.00033874833,57.0,1
83,193,0.000259045,69.0,1
84,193,0.0003127873,81.0,1
85,193,0.00037495815,89.0,2
86,193,0.00039679714,99.0,2
87,193,0.00012830942,78.0,1
88,193,0.0003108828,49.0,1
89,193,,37.0,-1
20,194,5.946681e-05,156.0,0
21,194,0.00015497184,158.0,0
22,194,2.7012662e-05,162.0,0
23,194,2.194813e-05,159.0,0
24,194,6.957975e-05,161.0,0
25,194,2.1253363e-05,158.0,0
26,194,2.5480986e-06,163.0,0
27,194,-0.00010730518,145.0,0
28,194,-3.969157e-05,91.0,2
29,194,0.00021375302,71.0,1
30,194,0.00023453921,89.0,2
31,194,0.00029177644,84.0,2
32,194,5.4122065e-06,93.0,2
33,194,0.00014791253,103.0,2
34,194,0.0002003006,100.0,2
35,194,0.0002777123,101.0,2
36,194,0.00023916375,108.0,2
37,194,9.593228e-05,107.0,2
38,194,0.0003633976,101.0,2
39,194,1.8339837e-05,81.0,1
40,194,9.832758e-05,68.0,1
41,194,1.9375177e-05,51.0,1
42,194,0.00040048792,51.0,1
43,194,0.0003653182,48.0,1
44,194,0.00027771498,53.0,1
45,194,,45.0,-1
46,194,0.00015261979,56.0,1
47,194,6.612658e-05,65.0,1
48,194,-0.00015580625,59.0,1
49,194,0.00012544519,62.0,1
50,194,0.00010598701,64.0,1
51,194,7.105875e-05,57.0,1
52,194,0.00037888106,66.0,1
53,194,0.00018847745,65.0,1
54,194,0.00021308957,63.0,1
55,194,0.0001736001,56.0,1
56,194,4.03967e-06,60.0,1
57,194,5.7042926e-05,69.0,1
58,194,1.9535073e-06,104.0,2
59,194,0.00024977414,98.0,2
60,194,-6.6205685e-05,100.0,2
61,194,-0.00019250263,104.0,2
62,194,0.00022291153,95.0,2
63,194,0.00018775382,91.0,2
64,194,4.680932e-05,84.0,2
65,194,-3.45984e-05,78.0,1
66,194,-0.00010509149,47.0,1
67,194,,36.0,-1
68,194,,45.0,-1
69,194,5.4594304e-05,50.0,1
70,194,7.462039e-05,51.0,1
71,194,0.00012530264,51.0,1
72,194,,42.0,-1
73,194,,40.0,-1
