x,y,latent,bandcontrast,cluster
380,71,-9.482348e-05,120.0,4
381,71,-5.000824e-05,144.0,0
382,71,-0.00018191012,155.0,3
383,71,-0.00013675605,136.0,0
384,71,-6.0819846e-05,164.0,3
385,71,-0.00029561186,139.0,0
386,71,-0.00020504283,140.0,0
387,71,-0.00030528835,137.0,0
388,71,-0.00020448209,163.0,3
389,71,5.248416e-05,138.0,0
390,71,-0.00030368599,141.0,0
391,71,-2.7895148e-05,139.0,0
392,71,-0.00019203738,165.0,3
393,71,-6.23019e-05,136.0,0
394,71,-1.9247469e-05,138.0,0
395,71,-0.00017862365,139.0,0
396,71,4.0894025e-05,138.0,0
397,71,-0.00026233983,137.0,0
398,71,-0.00020617084,137.0,0
399,71,7.9647696e-05,137.0,0
400,71,0.00013576867,138.0,0
401,71,-5.7879137e-05,137.0,0
402,71,-6.464159e-05,144.0,0
403,71,-0.00010898808,139.0,0
404,71,5.481142e-05,140.0,0
405,71,-0.00018693414,142.0,0
406,71,-6.1214145e-05,141.0,0
407,71,-0.0002130688,138.0,0
408,71,-0.00015435135,140.0,0
409,71,5.0163944e-05,140.0,0
410,71,-0.00013685116,122.0,4
411,71,0.000106499705,90.0,2
412,71,0.00018226868,58.0,5
413,71,-5.9175654e-06,62.0,5
414,71,3.628322e-05,71.0,1
415,71,0.00023318204,76.0,1
416,71,1.6442267e-05,70.0,1
417,71,-4.1981868e-05,68.0,5
418,71,0.00014534942,103.0,2
419,71,0.00014121347,132.0,4
350,72,5.5474753e-05,154.0,3
351,72,7.074018e-05,162.0,3
352,72,-3.9670616e-05,167.0,3
353,72,-0.00014542788,176.0,6
354,72,-4.791282e-05,179.0,6
355,72,5.2636722e-05,180.0,6
356,72,0.000105803425,191.0,6
357,72,9.613304e-05,190.0,6
358,72,0.00032416556,189.0,6
359,72,8.151558e-05,190.0,6
360,72,0.00019453384,193.0,6
361,72,0.00023825094,195.0,6
362,72,0.00014056044,188.0,6
363,72,-2.704066e-05,203.0,6
364,72,-7.473066e-05,194.0,6
365,72,0.00039666443,193.0,6
366,72,0.00022495963,190.0,6
367,72,-6.2401e-05,203.0,6
368,72,0.0002552804,184.0,6
369,72,-6.530492e-06,185.0,6
370,72,0.00037040788,180.0,6
371,72,6.116991e-05,177.0,6
372,72,0.00018775254,168.0,3
373,72,-0.00010966201,162.0,3
374,72,0.0002332541,157.0,3
375,72,-1.6623002e-05,148.0,0
376,72,9.819842e-05,141.0,0
377,72,4.3054868e-05,128.0,4
378,72,2.7814705e-05,124.0,4
379,72,-0.00019065168,127.0,4
380,72,6.191718e-05,130.0,4
381,72,-0.00029177713,138.0,0
382,72,-0.00017598155,140.0,0
383,72,-6.959465e-05,140.0,0
384,72,-0.00031923893,140.0,0
385,72,-0.00027832505,139.0,0
386,72,-9.68395e-05,141.0,0
387,72,5.0239207e-05,139.0,0
388,72,9.147916e-06,138.0,0
389,72,-0.0003933838,140.0,0
390,72,-0.0004003391,139.0,0
391,72,-0.00017915468,138.0,0
392,72,0.00013721874,137.0,0
393,72,0.000110207475,135.0,0
394,72,-6.2405015e-06,171.0,6
395,72,-3.0727475e-05,131.0,4
396,72,7.802207e-05,142.0,0
397,72,-3.6526937e-05,137.0,0
398,72,6.0561753e-05,133.0,4
399,72,0.00020507036,138.0,0
400,72,-8.481386e-05,140.0,0
401,72,2.6720518e-05,131.0,4
402,72,0.00023268542,130.0,4
403,72,3.3181277e-05,132.0,4
404,72,0.00042750878,136.0,0
405,72,-0.00011151275,137.0,0
406,72,-4.6313566e-05,139.0,0
407,72,-6.301241e-05,140.0,0
408,72,-5.3631782e-05,139.0,0
409,72,-0.00010340038,136.0,0
410,72,-1.9386876e-05,132.0,4
411,72,-5.5452052e-05,105.0,2
412,72,0.00030054676,81.0,1
413,72,1.473201e-05,74.0,1
414,72,0.00014897052,74.0,1
415,72,1.2675475e-05,95.0,2
416,72,0.0003923021,85.0,1
417,72,-0.000131579,83.0,1
418,72,9.205268e-05,84.0,1
